street_name,from_junc,to_junc,avg_speed,num_cars,seg_len,spd_limit,congestion
11th Ave,1,0,15,9,0.051136,25,0
11th Ave,2,1,15,9,0.051136,25,0
11th Ave,3,2,15,9,0.051136,25,0
11th Ave,4,3,15,9,0.051136,25,0
11th Ave,5,4,15,9,0.051136,25,0
11th Ave,6,5,15,9,0.051136,25,0
11th Ave,7,6,15,9,0.051136,25,0
11th Ave,8,7,15,9,0.051136,25,0
11th Ave,9,8,15,9,0.051136,25,0
11th Ave,10,9,15,9,0.051136,25,0
11th Ave,11,10,15,9,0.051136,25,0
11th Ave,12,11,15,9,0.051136,25,0
11th Ave,13,12,15,9,0.051136,25,0
11th Ave,14,13,15,9,0.051136,25,0
11th Ave,15,14,15,9,0.051136,25,0
11th Ave,16,15,15,9,0.051136,25,0
11th Ave,17,16,15,9,0.051136,25,0
11th Ave,18,17,15,9,0.051136,25,0
11th Ave,19,18,15,9,0.051136,25,0
11th Ave,11,12,15,9,0.051136,25,0
11th Ave,12,13,15,9,0.051136,25,0
11th Ave,13,14,15,9,0.051136,25,0
11th Ave,14,15,15,9,0.051136,25,0
11th Ave,15,16,15,9,0.051136,25,0
11th Ave,16,17,15,9,0.051136,25,0
11th Ave,17,18,15,9,0.051136,25,0
11th Ave,18,19,15,9,0.051136,25,0
10th Ave,20,21,15,9,0.051136,25,0
10th Ave,21,22,15,9,0.051136,25,0
10th Ave,22,23,15,9,0.051136,25,0
10th Ave,23,24,15,9,0.051136,25,0
10th Ave,24,25,15,9,0.051136,25,0
10th Ave,25,26,15,9,0.051136,25,0
10th Ave,26,27,15,9,0.051136,25,0
10th Ave,27,28,15,9,0.051136,25,0
10th Ave,28,29,15,9,0.051136,25,0
10th Ave,29,30,15,9,0.051136,25,0
10th Ave,30,31,15,9,0.051136,25,0
10th Ave,31,32,15,9,0.051136,25,0
10th Ave,32,33,15,9,0.051136,25,0
10th Ave,33,34,15,9,0.051136,25,0
10th Ave,34,35,15,9,0.051136,25,0
10th Ave,35,36,15,9,0.051136,25,0
10th Ave,36,37,15,9,0.051136,25,0
10th Ave,37,38,15,9,0.051136,25,0
10th Ave,38,39,15,9,0.051136,25,0
9th Ave,41,40,15,9,0.051136,25,0
9th Ave,42,41,15,9,0.051136,25,0
9th Ave,43,42,15,9,0.051136,25,0
9th Ave,44,43,15,9,0.051136,25,0
9th Ave,45,44,15,9,0.051136,25,0
9th Ave,46,45,15,9,0.051136,25,0
9th Ave,47,46,15,9,0.051136,25,0
9th Ave,48,47,15,9,0.051136,25,0
9th Ave,49,48,15,9,0.051136,25,0
9th Ave,50,49,15,9,0.051136,25,0
