street_name,from_junc,to_junc,avg_speed,num_cars,seg_len,spd_limit,congestion
11th Ave,1,0,15,9,0.051136,25,0.1556
11th Ave,2,1,16,7,0.051136,25,0.1135
11th Ave,3,2,17,6,0.051136,25,0.0915
11th Ave,4,3,15,8,0.051136,25,0.1383
11th Ave,5,4,14,9,0.051136,25,0.1667
11th Ave,6,5,14,9,0.051136,25,0.1667
11th Ave,7,6,15,8,0.051136,25,0.1383
11th Ave,8,7,15,8,0.051136,25,0.1383
11th Ave,9,8,15,9,0.051136,25,0.1556
11th Ave,10,9,13,10,0.051136,25,0.1995
11th Ave,11,10,12,11,0.051136,25,0.2377
11th Ave,12,11,10,13,0.051136,25,0.3372
11th Ave,13,12,9,14,0.051136,25,0.4034
11th Ave,14,13,10,13,0.051136,25,0.3372
11th Ave,15,14,10,13,0.051136,25,0.3372
11th Ave,16,15,11,12,0.051136,25,0.2829
11th Ave,17,16,12,11,0.051136,25,0.2377
11th Ave,18,17,12,11,0.051136,25,0.2377
11th Ave,19,18,12,11,0.051136,25,0.2377
11th Ave,11,12,10,13,0.051136,25,0.3372
11th Ave,12,13,11,12,0.051136,25,0.2829
11th Ave,13,14,10,13,0.051136,25,0.3372
11th Ave,14,15,9,14,0.051136,25,0.4034
11th Ave,15,16,8,15,0.051136,25,0.4863
11th Ave,16,17,7,16,0.051136,25,0.5928
11th Ave,17,18,7,16,0.051136,25,0.5928
11th Ave,18,19,6,17,0.051136,25,0.7349
10th Ave,20,21,7,16,0.051136,25,0.5928
10th Ave,21,22,8,15,0.051136,25,0.4863
10th Ave,22,23,8,15,0.051136,25,0.4863
10th Ave,23,24,7,16,0.051136,25,0.5928
10th Ave,24,25,6,17,0.051136,25,0.7349
10th Ave,25,26,6,17,0.051136,25,0.7349
10th Ave,26,27,7,16,0.051136,25,0.5928
10th Ave,27,28,7,16,0.051136,25,0.5928
10th Ave,28,29,9,14,0.051136,25,0.4034
10th Ave,29,30,10,13,0.051136,25,0.3372
10th Ave,30,31,11,12,0.051136,25,0.2829
10th Ave,31,32,12,11,0.051136,25,0.2377
10th Ave,32,33,13,10,0.051136,25,0.1995
10th Ave,33,34,13,10,0.051136,25,0.1995
10th Ave,34,35,13,10,0.051136,25,0.1995
10th Ave,35,36,12,11,0.051136,25,0.2377
10th Ave,36,37,10,13,0.051136,25,0.3372
10th Ave,37,38,10,13,0.051136,25,0.3372
10th Ave,38,39,11,12,0.051136,25,0.2829
9th Ave,41,40,6,17,0.051136,25,0.7349
9th Ave,42,41,8,15,0.051136,25,0.4863
9th Ave,43,42,10,13,0.051136,25,0.3372
9th Ave,44,43,10,13,0.051136,25,0.3372
9th Ave,45,44,11,12,0.051136,25,0.2829
9th Ave,46,45,13,10,0.051136,25,0.1995
9th Ave,47,46,15,8,0.051136,25,0.1383
9th Ave,48,47,13,10,0.051136,25,0.1995
9th Ave,49,48,11,12,0.051136,25,0.2829
9th Ave,50,49,10,13,0.051136,25,0.3372
9th Ave,51,50,9,14,0.051136,25,0.4034
9th Ave,52,51,10,13,0.051136,25,0.3372
9th Ave,53,52,10,13,0.051136,25,0.3372
9th Ave,54,53,12,11,0.051136,25,0.2377
9th Ave,55,54,13,10,0.051136,25,0.1995
9th Ave,56,55,13,10,0.051136,25,0.1995
9th Ave,57,56,11,12,0.051136,25,0.2829
9th Ave,58,57,9,14,0.051136,25,0.4034
9th Ave,59,58,11,12,0.051136,25,0.2829
8th Ave,60,61,6,17,0.051136,25,0.7349
8th Ave,61,62,7,16,0.051136,25,0.5928
8th Ave,62,63,8,16,0.051136,25,0.5187
8th Ave,63,64,8,15,0.051136,25,0.4863
8th Ave,64,65,9,14,0.051136,25,0.4034
8th Ave,65,66,11,12,0.051136,25,0.2829
8th Ave,66,67,10,13,0.051136,25,0.3372
8th Ave,67,68,12,11,0.051136,25,0.2377
8th Ave,68,69,13,10,0.051136,25,0.1995
8th Ave,69,70,16,7,0.051136,25,0.1135
8th Ave,70,71,16,7,0.051136,25,0.1135
8th Ave,71,72,16,7,0.051136,25,0.1135
8th Ave,72,73,15,8,0.051136,25,0.1383
8th Ave,73,74,14,10,0.051136,25,0.1853
8th Ave,74,75,14,9,0.051136,25,0.1667
8th Ave,75,76,14,9,0.051136,25,0.1667
8th Ave,76,77,13,10,0.051136,25,0.1995
8th Ave,77,78,12,11,0.051136,25,0.2377
8th Ave,78,79,14,9,0.051136,25,0.1667
7th Ave,81,80,12,11,0.051136,25,0.2377
7th Ave,82,81,15,8,0.051136,25,0.1383
7th Ave,83,82,16,7,0.051136,25,0.1135
7th Ave,84,83,15,8,0.051136,25,0.1383
7th Ave,85,84,13,10,0.051136,25,0.1995
7th Ave,86,85,12,11,0.051136,25,0.2377
7th Ave,87,86,12,11,0.051136,25,0.2377
7th Ave,88,87,13,10,0.051136,25,0.1995
7th Ave,89,88,14,9,0.051136,25,0.1667
7th Ave,90,89,14,9,0.051136,25,0.1667
7th Ave,91,90,15,8,0.051136,25,0.1383
7th Ave,92,91,18,5,0.051136,25,0.072
7th Ave,93,92,17,6,0.051136,25,0.0915
